entry,aozora_frequency,candidate_readings,sources,evidence_count,final_status,action,reason,resolved_reading,old_uuid,new_uuid,source_path,source_row,target_path
丘々,25,おかおか,aozora_ruby,2,suspected_fragment,keep_pending,at least one example contains an independent use,,85e968f2-6153-5ea2-b591-2b7ba9e8d7af,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/丘々.json,1,
个,4,か|が|ケ|ヶ,aozora_ruby|jmdict,7,ambiguous,conflict,jmdict has multiple applicable full-entry readings,,0f1ef276-5829-5344-afb2-a792fd7668ca,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个.json,1,
个処,20,,,0,suspected_fragment,keep_pending,at least one example contains an independent use,,efee5266-0ef0-5de5-a86b-1f5871a601f9,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个処.json,1,
个原,10,,,0,suspected_fragment,keep_pending,at least one example contains an independent use,,32fb5b1f-bdcd-55b1-bc5b-33a9f6fe6c36,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个原.json,1,
个国,4,,,0,suspected_fragment,keep_pending,at least one example contains an independent use,,df964e48-7267-5e75-8fc9-d046282c1cce,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个国.json,1,
个島,6,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,74fa53d2-c86c-5b23-bbf8-14a94567d3b5,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个島.json,1,
个所,6,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,42910a71-e8fd-506e-89d0-53cb2dbcea8a,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个所.json,1,
个日,8,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,3f3417a7-753c-579b-9baf-86ef483131bb,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个日.json,1,
个月,6,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,52b4131e-05a7-5662-8873-ceb008bb2105,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/个月.json,1,
丶,11,くとう|ちよぼ|チョン,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,f7f54576-4db8-50fe-b56f-940ffcf75612,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/丶.json,1,
丶丶,4,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,3c24b7d3-7d59-5867-b582-c7edbd147bf8,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/丶丶.json,1,
主々,40,すず,jmnedict,1,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,28b99aa0-72f1-5471-98e0-4e47eeafe5cd,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/主々.json,1,
丿観,13,へちかん|へちくわん,aozora_ruby,2,source_conflict,conflict,sources disagree on the complete-entry reading,,3f99384f-d73a-5f61-a11b-610ec6161b5a,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/丿観.json,1,
之々,8,,,0,suspected_fragment,keep_pending,at least one example contains an independent use,,341dcf93-5a19-542c-9176-03fbcd8b866e,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/之々.json,1,
乞御,4,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,f465ff25-fb1d-541b-964e-428db37e4295,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/乞御.json,1,
乞盗,4,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,8f47f351-1645-515a-9426-89d7a5f6c599,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/乞盗.json,1,
了々,6,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,a59d4792-1c63-5cb9-b8aa-809ee065fbb1,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/了々.json,1,
争上,7,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,331ba4e9-68b7-5eac-b894-e0c52ebb92d7,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/争上.json,1,
争的,5,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,727cd439-adf5-519f-b851-7d800a800792,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/争的.json,1,
争者,22,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,931bb182-4683-5643-95eb-b0c9bc8fe7c5,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/争者.json,1,
二々,5,ににん,aozora_ruby,1,suspected_fragment,keep_pending,at least one example contains an independent use,,00645613-6c31-546c-b08c-dd505e8ae76c,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/二々.json,1,
云中,6,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,65d2ddec-e9cf-57fc-b4c5-60f2d867b828,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云中.json,1,
云事,35,いうこと|いふこと,aozora_ruby,4,source_conflict,conflict,sources disagree on the complete-entry reading,,94417938-8742-53c6-816a-016b28cfd60e,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云事.json,1,
云人,11,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,8db28466-e6c8-5d17-badc-d61be2907e87,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云人.json,1,
云付,12,いいつ|いいつか|いいつけ|いつ|いひつ|いひつけ,aozora_ruby,12,source_conflict,conflict,sources disagree on the complete-entry reading,,f6c6af67-7d7b-54e2-b1d6-4716dee98aaf,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云付.json,1,
云入,4,いひいれ,aozora_ruby,1,single_ruby,keep_pending,ruby occurs in only one distinct Aozora text file,,95d8789c-85af-5e31-b5be-20107f82cd70,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云入.json,1,
云其,5,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,bc152f29-b614-5937-85ce-2a29253fd406,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云其.json,1,
云処,7,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,84ee17f6-7e07-5111-a99a-f0ebbb6aef77,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云処.json,1,
云出,39,いいいだ|いいだ|いひだ,aozora_ruby,5,source_conflict,conflict,sources disagree on the complete-entry reading,,50faa87c-b686-5451-b4b9-00bb4dfdb811,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云出.json,1,
云分,18,いいぶん,aozora_ruby,4,suspected_fragment,keep_pending,at least one example contains an independent use,,fc6bbe0a-cc5c-525b-98ec-ef3242ddee6f,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云分.json,1,
云号,6,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,0e8e17ac-5b85-5773-b1b5-c790a0e20cda,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云号.json,1,
云合,13,いいあわ|いいお|いひあは,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,050f45ee-71c2-55f7-9d0d-fad458bd1bf0,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云合.json,1,
云声,5,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,d362b8fd-8718-59fc-ae7f-0a97ecf95ba1,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云声.json,1,
云大,7,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,6aef9bfc-2093-527d-b05c-306276b1b597,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云大.json,1,
云女,5,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,d279df32-9fc7-5e30-a1ab-b95db9725bba,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云女.json,1,
云奴,4,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,7b039fcc-1b58-58df-acb4-a8d701e23ada,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云奴.json,1,
云寄,4,いひより|いひよる,aozora_ruby,2,source_conflict,conflict,sources disagree on the complete-entry reading,,dd457f5e-c6db-547f-aacf-b813ec424f7d,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云寄.json,1,
云張,8,いいは|いひは|いひはり|いひはる,aozora_ruby,4,source_conflict,conflict,sources disagree on the complete-entry reading,,dd2bc8fa-c8db-5809-8586-f02f85f5fff3,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云張.json,1,
云心,6,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,ed8eeb4a-21b5-525e-b61d-2c0e94643739,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云心.json,1,
云懸,5,いひかかり|いひかけ|いひかゝ|いひかゝり|いひがか,aozora_ruby,5,source_conflict,conflict,sources disagree on the complete-entry reading,,2a276a00-35df-596f-864d-ad0abb72a915,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云懸.json,1,
云所,13,いふところ,aozora_ruby,1,suspected_fragment,keep_pending,at least one example contains an independent use,,51891710-8f48-58eb-8d41-620527c36b2c,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云所.json,1,
云捨,9,いひすて,aozora_ruby,1,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,111c3ff9-6dd7-5597-8fed-b9e4f62c5f40,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云捨.json,1,
云掛,6,いいか|いひか|いひかけ|いひかゝり,aozora_ruby,5,source_conflict,conflict,sources disagree on the complete-entry reading,,e2d00cf0-5133-5633-aff2-49da1209d37e,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云掛.json,1,
云放,4,いいはな|いひはな,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,bd8db98c-1e3e-57eb-89bf-f45269e2a4d0,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云放.json,1,
云故,8,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,8d56f212-bd3d-5ea4-a8f8-ba792095f74c,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云故.json,1,
云是,8,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,5853d601-2e1e-5dd8-8002-9ea376c912c8,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云是.json,1,
云時,14,いふとき,aozora_ruby,1,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,5f86948c-7b5f-54d8-ac69-fe79832c7419,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云時.json,1,
云様,9,いいよう,aozora_ruby,1,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,681a2a1e-b805-5798-bd59-8bebf2126576,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云様.json,1,
云此,7,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,3425aa9a-06c3-5c20-9f8e-30ed1ec8d6a5,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云此.json,1,
云殊,6,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,e1dc502a-2549-5ad6-8789-7341470e73c2,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云殊.json,1,
云渡,8,いひわた,aozora_ruby,1,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,2e0b319e-9a75-5657-93fc-5d70921ae689,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云渡.json,1,
云爲,11,うんゐ,aozora_ruby,1,suspected_fragment,keep_pending,at least one example contains an independent use,,6cffc26a-32c1-5a66-bf7f-a55be754a853,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云爲.json,1,
云物,7,いふもの,aozora_ruby,1,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,8bd2f07f-e438-500d-b95c-2b3b1acdce15,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云物.json,1,
云直,4,いいなお|いひなほ,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,3c0fe3a7-175c-5633-8e60-8aec672be41e,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云直.json,1,
云程,5,いふほど,aozora_ruby,1,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,f32d1488-7a6b-5cc3-9d43-c64f4e3878ed,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云程.json,1,
云立,10,いいた|いひたて,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,9b309614-1130-56a2-882e-58e84c71e3d5,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云立.json,1,
云者,95,いうもの|いふもの,aozora_ruby,2,source_conflict,conflict,sources disagree on the complete-entry reading,,50a6a49e-081c-56ce-9ad5-247a4366b439,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云者.json,1,
云聞,11,いひきか|いひきけ,aozora_ruby,2,source_conflict,conflict,sources disagree on the complete-entry reading,,620cf32a-8790-5f7c-b1bb-de41fda81a2b,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云聞.json,1,
云訳,50,いいわ|いいわけ|いひわけ,aozora_ruby,11,source_conflict,conflict,sources disagree on the complete-entry reading,,75472077-4fe9-570c-87fe-5f4c8de3b9c5,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云訳.json,1,
云金,5,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,c55b7729-5af8-563a-83a4-705857cdfc51,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云金.json,1,
云附,4,いいつ|いいつけ|いつ,aozora_ruby,6,source_conflict,conflict,sources disagree on the complete-entry reading,,b2b93c23-78c3-555d-b59a-735003e7e722,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云附.json,1,
云難,4,いひがた,aozora_ruby,2,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,7afaa4db-1a5b-52f3-a9ef-036d3e67a8b3,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/云難.json,1,
亟,15,いそ|しばしば|すみ|すみや|つと,aozora_ruby,6,source_conflict,conflict,sources disagree on the complete-entry reading,,113fd1de-8f41-519d-b111-c2b54e23599f,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/亟.json,1,
亦々,4,またまた,jmdict,1,invalid_unicode,keep_pending,a source supplied a reading containing illegal characters,,063f7f0b-26cd-5306-a3b6-d4d9e53005c8,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/亦々.json,1,
亮々,9,りょうりょう,aozora_ruby,3,invalid_unicode,keep_pending,a source supplied a reading containing illegal characters,,095615f0-1d03-5572-a5e0-149108e77688,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/亮々.json,1,
仂,60,つとむ|はした,aozora_ruby|jmnedict,7,source_conflict,conflict,sources disagree on the complete-entry reading,,2ef64f1a-6044-578c-a46d-79635bb0d19b,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/仂.json,1,
仂者,18,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,b4673349-51fa-5ef2-880a-a943c7edbc44,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/仂者.json,1,
仆,66,けたお|こ|た|たお|たふ|たほ|たを|だお|だふ|のめ|タオ|タフ,aozora_ruby,257,source_conflict,conflict,sources disagree on the complete-entry reading,,409b2ced-60b6-5a73-ad83-7bc60364ae5e,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/仆.json,1,
今々,16,いまいま,aozora_ruby|jmdict,2,suspected_fragment,keep_pending,at least one example contains an independent use,,08aa027e-f5dd-5615-8e80-9aa9ea15c252,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/今々.json,1,
从,12,したが|したがふ,aozora_ruby,8,source_conflict,conflict,sources disagree on the complete-entry reading,,45539eef-6767-56d4-b906-36805dbba811,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/从.json,1,
仏々,7,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,b35897a0-7e77-5e26-a4ef-5d0de9217934,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/仏々.json,1,
仰々,5,ぎょうぎょう|ぎょぎょう|そもそも,aozora_ruby,38,invalid_unicode,keep_pending,a source supplied a reading containing illegal characters,,65c8e4cb-14c0-5d89-bd57-b96dd5a9ffa1,,/Users/iktahana/Genji/pending/needs_reading/U+4E00-U+4EFF/仰々.json,1,
余兩,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,51fab078-b503-58b3-bb0a-7fc406b6df7a,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ兩.json,1,
余哩,3,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,2bbf21f5-89a8-5bcd-8749-ad7f8b4d646d,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ哩.json,1,
余忿,2,,,0,unmatched,keep_pending,no accepted complete-entry evidence,,96bdccde-c20f-5e1b-a4eb-99a6ee06c56a,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ忿.json,1,
余滞,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,ddfa9571-4f03-5f61-a341-e7deed0841c7,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ滞.json,1,
余箇,1,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,07331d1f-8eff-58a6-9432-a7b1e52d89b5,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ箇.json,1,
余逢,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,c80d3fc7-93b3-5e52-8f18-e270b07f80fc,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ逢.json,1,
余飮,1,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,0954a274-0302-54f1-83bb-ac9df068ee2e,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/アマリ飮.json,1,
伉,4,つよし,jmnedict,1,suspected_fragment,keep_pending,single-character entries require individual review,,f24ffca4-595b-58ba-9dcd-114419139ec2,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/伉.json,1,
估,16,う|こ,aozora_ruby,6,source_conflict,conflict,sources disagree on the complete-entry reading,,93a993e7-c780-598e-896d-778ee1c9c28d,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/估.json,1,
伸々,85,のびのび,aozora_ruby,20,invalid_unicode,keep_pending,a source supplied a reading containing illegal characters,,2b9723a1-0438-5acd-b916-7965407347e6,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/伸々.json,1,
佗,171,さび|た|わ|わび|わびし|ワ,aozora_ruby|jmdict,146,invalid_unicode,keep_pending,a source supplied a reading containing illegal characters,,8a222a20-6aaf-5028-adb6-65c611407089,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佗.json,1,
佗住,6,わびずま,aozora_ruby,3,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,e3a05caa-cb5f-51d0-8bc5-d8ae907eaac7,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佗住.json,1,
佗助,14,わびすけ,aozora_ruby,1,suspected_fragment,keep_pending,at least one example contains an independent use,,4fd2517a-32b2-56b7-8d80-e78d73ef3e62,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佗助.json,1,
佗有,4,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,71238328-23d6-511c-ae01-c26856c206e2,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佗有.json,1,
佗田,4,わびた,aozora_ruby,1,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,f791792b-dc90-5d14-877e-87d40fc6309a,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佗田.json,1,
佞吏,7,ねいり,aozora_ruby,3,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,edf38d57-198d-5a23-8732-7338c5ee92e6,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佞吏.json,1,
佞物,4,ねいぶつ,aozora_ruby,2,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,91aad40a-b2fa-5647-a40a-05a9d6252a0d,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佞物.json,1,
佯,68,いつ|いつは|いつはり|いつわ|いつわり|さまよふ,aozora_ruby,37,source_conflict,conflict,sources disagree on the complete-entry reading,,92630549-77e1-59b1-98af-c9e072de23ff,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佯.json,1,
併列,8,,,0,suspected_fragment,keep_pending,at least one example contains an independent use,,7cbc5009-29e0-5f79-9967-f560cd678aa8,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/併列.json,1,
併此,5,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,c708236b-2bf6-5f18-bd02-5430d5d7e8a9,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/併此.json,1,
佶,22,きっ|きつ|ただし|つよし,aozora_ruby|jmnedict,10,ambiguous,conflict,jmnedict has multiple applicable full-entry readings,,d767f933-ca0a-5639-9d72-5268c034045e,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佶.json,1,
佼,69,,,0,suspected_fragment,keep_pending,single-character entries require individual review,,61799012-192f-5140-b317-06eb2e39665c,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佼.json,1,
佼達,5,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,db6ddaab-8777-5577-9244-3fbd800655aa,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/佼達.json,1,
侈,11,おご|し,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,cfef323d-57da-5e82-b411-63a342ac406e,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/侈.json,1,
侈奢,4,おごり|ししや,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,e14ca934-147b-5310-8d75-d8d145a9b606,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/侈奢.json,1,
依之,35,これによって|これによつて|これによりて,aozora_ruby,3,source_conflict,conflict,sources disagree on the complete-entry reading,,54b9fbcb-5841-5785-b25d-efc17d89409c,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依之.json,1,
依二,6,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,d92a46de-432d-5367-ae3a-b16a7ae486e0,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依二.json,1,
依以,4,,,0,suspected_fragment,reject_fragment,all occurrences are embedded across at least two works and authoritative dictionaries have no exact headword,,5679368a-0fd7-5364-b38f-b0fea184412b,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依以.json,1,
依其,5,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,06ee2477-bf84-5ff4-9e44-43582866f361,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依其.json,1,
依右,35,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,88506747-8eeb-5ac3-80ba-2bc0041ff771,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依右.json,1,
依志,30,,,0,suspected_fragment,keep_pending,embedded evidence is insufficient for automatic rejection,,0de6faa5-015f-56ff-83c1-8f004dd59531,,/Users/iktahana/Genji/pending/needs_reading/U+4F00-U+4FFF/依志.json,1,
